<Ewe/V>	I/mA	Ns	time/s	
4.5090926E-001	5.0724213E+002	0	08/31/2025 15:58:01.6850
6.1447906E-001	5.1794147E+002	0	08/31/2025 15:58:01.7850
7.4115121E-001	5.0724213E+002	0	08/31/2025 15:58:01.8850
8.1710708E-001	5.1182755E+002	0	08/31/2025 15:58:01.9850
8.7332368E-001	5.1284650E+002	0	08/31/2025 15:58:02.0850
9.3211734E-001	5.1029907E+002	0	08/31/2025 15:58:02.1850
9.9475950E-001	5.1182755E+002	0	08/31/2025 15:58:02.2850
1.0595515E+000	5.0418521E+002	0	08/31/2025 15:58:02.3850
1.1238593E+000	5.0775165E+002	0	08/31/2025 15:58:02.4850
1.1840723E+000	5.0724213E+002	0	08/31/2025 15:58:02.5850
1.2409574E+000	5.1335602E+002	0	08/31/2025 15:58:02.6850
1.2962564E+000	5.1437500E+002	0	08/31/2025 15:58:02.7850
1.3506813E+000	5.0826111E+002	0	08/31/2025 15:58:02.8850
1.4026697E+000	5.0826111E+002	0	08/31/2025 15:58:02.9850
1.4395077E+000	5.0978955E+002	0	08/31/2025 15:58:03.0850
1.4528170E+000	5.2201733E+002	0	08/31/2025 15:58:03.1850
1.4574476E+000	5.1437500E+002	0	08/31/2025 15:58:03.2850
1.4598596E+000	5.0775165E+002	0	08/31/2025 15:58:03.3850
1.4614605E+000	5.1641296E+002	0	08/31/2025 15:58:03.4850
1.4626244E+000	5.1896039E+002	0	08/31/2025 15:58:03.5850
1.4635421E+000	5.1080859E+002	0	08/31/2025 15:58:03.6850
1.4642828E+000	5.1896039E+002	0	08/31/2025 15:58:03.7850
1.4648921E+000	5.1896039E+002	0	08/31/2025 15:58:03.8850
1.4654062E+000	5.1845093E+002	0	08/31/2025 15:58:03.9850
1.4658716E+000	5.1590344E+002	0	08/31/2025 15:58:04.0850
1.4662672E+000	5.1386554E+002	0	08/31/2025 15:58:04.1850
1.4666225E+000	5.2048889E+002	0	08/31/2025 15:58:04.2850
1.4669412E+000	5.0826111E+002	0	08/31/2025 15:58:04.3850
1.4672297E+000	5.1590344E+002	0	08/31/2025 15:58:04.4850
1.4674987E+000	5.1386554E+002	0	08/31/2025 15:58:04.5850
1.4677293E+000	5.1386554E+002	0	08/31/2025 15:58:04.6850
1.4679199E+000	5.1590344E+002	0	08/31/2025 15:58:04.7850
1.4681208E+000	5.1845093E+002	0	08/31/2025 15:58:04.8850
1.4683135E+000	5.1284650E+002	0	08/31/2025 15:58:04.9850
1.4684995E+000	5.1845093E+002	0	08/31/2025 15:58:05.0850
1.4686799E+000	5.1182755E+002	0	08/31/2025 15:58:05.1850
1.4688382E+000	5.1386554E+002	0	08/31/2025 15:58:05.2850
1.4689939E+000	5.1539404E+002	0	08/31/2025 15:58:05.3850
1.4691260E+000	5.2303632E+002	0	08/31/2025 15:58:05.4850
1.4692677E+000	5.1590344E+002	0	08/31/2025 15:58:05.5850
1.4694029E+000	5.2150787E+002	0	08/31/2025 15:58:05.6850
1.4695278E+000	5.1590344E+002	0	08/31/2025 15:58:05.7850
1.4696628E+000	5.0978955E+002	0	08/31/2025 15:58:05.8850
1.4697685E+000	5.1590344E+002	0	08/31/2025 15:58:05.9850
1.4698850E+000	5.1641296E+002	0	08/31/2025 15:58:06.0850
1.4699917E+000	5.1539404E+002	0	08/31/2025 15:58:06.1850
1.4700919E+000	5.1233710E+002	0	08/31/2025 15:58:06.2850
1.4701926E+000	5.1641296E+002	0	08/31/2025 15:58:06.3850
1.4703035E+000	5.0978955E+002	0	08/31/2025 15:58:06.4850
1.4703962E+000	5.1335602E+002	0	08/31/2025 15:58:06.5850
1.4704858E+000	5.1386554E+002	0	08/31/2025 15:58:06.6850
1.4705770E+000	5.0877063E+002	0	08/31/2025 15:58:06.7850
1.4706693E+000	5.0622314E+002	0	08/31/2025 15:58:06.8850
1.4707470E+000	5.2303632E+002	0	08/31/2025 15:58:06.9850
1.4708239E+000	5.1284650E+002	0	08/31/2025 15:58:07.0850
1.4708990E+000	5.2048889E+002	0	08/31/2025 15:58:07.1850
1.4709823E+000	5.1896039E+002	0	08/31/2025 15:58:07.2850
1.4710531E+000	5.1437500E+002	0	08/31/2025 15:58:07.3850
1.4711406E+000	5.1131805E+002	0	08/31/2025 15:58:07.4850
1.4712244E+000	5.1029907E+002	0	08/31/2025 15:58:07.5850
1.4712899E+000	5.1284650E+002	0	08/31/2025 15:58:07.6850
1.4713303E+000	5.2303632E+002	0	08/31/2025 15:58:07.7850
1.4713924E+000	5.1794147E+002	0	08/31/2025 15:58:07.8850
1.4714499E+000	5.1590344E+002	0	08/31/2025 15:58:07.9850
1.4715281E+000	5.1743195E+002	0	08/31/2025 15:58:08.0850
1.4715831E+000	5.2507428E+002	0	08/31/2025 15:58:08.1850
1.4716455E+000	5.2405530E+002	0	08/31/2025 15:58:08.2850
1.4716997E+000	5.1845093E+002	0	08/31/2025 15:58:08.3850
1.4717600E+000	5.1896039E+002	0	08/31/2025 15:58:08.4850
1.4718100E+000	5.1946991E+002	0	08/31/2025 15:58:08.5850
1.4718635E+000	5.2456482E+002	0	08/31/2025 15:58:08.6850
1.4719142E+000	5.1080859E+002	0	08/31/2025 15:58:08.7850
1.4719630E+000	5.2456482E+002	0	08/31/2025 15:58:08.8850
1.4720113E+000	5.1590344E+002	0	08/31/2025 15:58:08.9850
1.4720553E+000	5.2201733E+002	0	08/31/2025 15:58:09.0850
1.4721085E+000	5.1946991E+002	0	08/31/2025 15:58:09.1850
1.4721524E+000	5.1386554E+002	0	08/31/2025 15:58:09.2850
1.4722062E+000	5.0877063E+002	0	08/31/2025 15:58:09.3850
1.4722488E+000	5.1845093E+002	0	08/31/2025 15:58:09.4850
1.4722887E+000	5.1845093E+002	0	08/31/2025 15:58:09.5850
1.4723362E+000	5.2303632E+002	0	08/31/2025 15:58:09.6850
1.4723586E+000	5.1590344E+002	0	08/31/2025 15:58:09.7850
1.4723995E+000	5.2150787E+002	0	08/31/2025 15:58:09.8850
1.4724489E+000	5.1335602E+002	0	08/31/2025 15:58:09.9850
1.4724747E+000	5.0978955E+002	0	08/31/2025 15:58:10.0850
1.4725184E+000	5.0978955E+002	0	08/31/2025 15:58:10.1850
1.4725624E+000	5.1539404E+002	0	08/31/2025 15:58:10.2850
1.4726021E+000	5.1641296E+002	0	08/31/2025 15:58:10.3850
1.4726372E+000	5.1335602E+002	0	08/31/2025 15:58:10.4850
1.4726766E+000	5.1284650E+002	0	08/31/2025 15:58:10.5850
1.4727108E+000	5.1946991E+002	0	08/31/2025 15:58:10.6850
1.4727374E+000	5.1080859E+002	0	08/31/2025 15:58:10.7850
1.4727776E+000	5.2201733E+002	0	08/31/2025 15:58:10.8850
1.4728171E+000	5.1539404E+002	0	08/31/2025 15:58:10.9850
1.4728649E+000	5.1896039E+002	0	08/31/2025 15:58:11.0850
1.4729069E+000	5.1743195E+002	0	08/31/2025 15:58:11.1850
1.4729314E+000	5.1997943E+002	0	08/31/2025 15:58:11.2850
1.4729667E+000	5.1641296E+002	0	08/31/2025 15:58:11.3850
1.4729854E+000	5.1794147E+002	0	08/31/2025 15:58:11.4850
1.4727947E+000	5.1845093E+002	0	08/31/2025 15:58:11.5850
1.4727556E+000	5.1284650E+002	0	08/31/2025 15:58:11.6850
1.4727472E+000	5.1845093E+002	0	08/31/2025 15:58:11.7850
1.4727467E+000	5.1182755E+002	0	08/31/2025 15:58:11.8850
1.4727496E+000	5.1997943E+002	0	08/31/2025 15:58:11.9850
1.4727520E+000	5.1539404E+002	0	08/31/2025 15:58:12.0850
1.4727643E+000	5.1794147E+002	0	08/31/2025 15:58:12.1850
1.4727780E+000	5.2150787E+002	0	08/31/2025 15:58:12.2850
